1	3	10	252
2	1	9	116
2	8	4	292
3	4	6	230
5	4	7	214
6	5	10	210
6	22	10	252
7	8	9	381
8	9	6	532
9	11	3	150
10	24	6	150
10	6	3	215
11	10	5	206
11	17	5	182
12	9	4	354
12	16	4	169
12	13	12	172
14	16	2	216
14	13	11	65
15	14	10	60
16	17	11	87
17	24	10	494
18	25	11	258
19	21	10	268
19	20	10	167
19	18	11	201
19	32	11	233
20	30	11	197
21	16	11	275
22	23	10	146
23	24	10	235
23	28	7	212
23	29	7	172
23	26	6	104
24	26	10	56
25	24	10	145
26	30	11	60
27	23	12	164
28	26	7	203
29	35	6	298
29	28	12	243
29	31	3	176
30	25	3	130
30	31	11	92
32	31	12	239
32	34	3	122
33	32	7	132
33	34	10	211
33	36	4	94
34	31	12	134
35	34	3	154
36	34	12	225
37	36	11	142
38	41	10	298
39	37	12	240
39	38	12	181
39	36	10	107
40	36	12	213
41	44	8	103
41	42	2	216
42	43	8	162
42	44	3	289
43	45	1	114
46	47	3	90
46	48	5	178
48	49	3	79
50	51	1	210
51	52	2	186
19	16	0	209
20	31	0	289
26	31	0	170
29	26	0	105
36	35	0	220
48	47	0	120
1	48	0	703
1	53	0	298
40	34	0	622
53	50	0	345
