0.02569	0.00100
0.00934	0.00100
0.01168	0.00100
0.00623	0.00100
0.00623	0.00100
0.01869	0.00100
0.00833	0.00100
0.00833	0.05000
0.03889	0.00100
0.01052	0.00547
0.00451	0.00100
0.01861	0.00100
0.00615	0.00100
0.00820	0.01829
0.01025	0.00100
0.08477	0.00100
0.02791	0.01815
0.00574	0.00100
0.01025	0.00100
0.00574	0.00100
0.00615	0.01192
0.00721	0.00100
0.06091	0.00100
0.01665	0.04646
0.02339	0.01012
0.05440	0.00100
0.00839	0.00100
0.01239	0.00100
0.01859	0.00100
0.04166	0.00100
0.15000	0.00100
0.01015	0.00100
0.01015	0.00100
0.05586	0.00207
0.01380	0.00100
0.00492	0.00100
0.03045	0.00100
0.01687	0.00100
0.01483	0.00100
0.00738	0.05000
0.00632	0.00100
0.01681	0.00100
0.01194	0.00100
0.00434	0.00100
0.00543	0.00100
0.01906	0.00100
0.00953	0.00100
0.00953	0.00100
0.00953	0.00100
0.00427	0.00100
0.00320	0.00340
0.00289	0.00100
0.00031	0.00100
