0	0	477	0	0	2	0	135	0	0	1	632	0	42
0	0	1247	30	0	0	0	0	0	0	1	37	0	0
0	0	0	0	25	0	0	452	0	0	1	484	0	0
0	0	0	0	13	0	0	152	0	0	0	320	0	0
0	0	0	0	17	0	0	204	0	0	0	0	0	30
0	0	0	0	0	0	0	0	0	0	0	616	0	0
6	0	831	0	24	0	0	0	0	0	0	316	0	77
0	0	0	0	0	0	0	0	0	0	24	0	0	0
1	0	1068	0	80	0	0	27	0	0	32	465	0	0
2	0	582	0	0	0	0	20	0	0	62	0	0	23
2	0	839	0	35	0	0	0	0	0	20	327	0	84
0	2600	260	0	24	0	0	66	0	0	0	16	0	70
0	0	0	0	43	0	0	33	0	0	0	0	0	0
0	0	359	0	0	306	0	0	0	0	0	300	0	20
0	0	1490	0	0	0	0	0	0	0	0	0	0	0
32	0	3687	42	77	22	0	0	0	0	0	79	0	251
3	0	298	60	34	340	0	0	0	0	0	0	0	209
0	0	0	0	0	0	0	19	580	0	0	0	0	62
40	0	2857	97	62	0	0	0	0	0	0	663	0	262
0	0	1236	0	17	0	0	0	0	0	0	0	0	0
0	0	0	0	0	249	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	991	0	0	0	0	0	0
88	0	0	4	13	0	52	1917	0	0	0	13	0	13
4	0	0	6	6	445	0	0	0	0	5	0	0	0
49	0	7	0	81	200	0	0	0	0	0	800	0	0
0	0	0	0	124	0	0	0	0	0	4	693	0	393
0	0	1456	0	0	0	0	11	0	0	0	1300	0	0
8	0	0	0	0	0	226	187	0	0	0	0	0	9
0	2778	0	0	0	0	0	1520	0	0	0	0	0	0
48	0	1498	0	32	0	0	292	0	0	5	27	0	15
36	0	1038	102	306	0	0	341	0	0	22	2193	0	757
0	0	2371	0	7	0	0	61	0	0	0	2100	0	0
206	0	560	0	33	0	0	51	0	1608	0	0	0	0
1	0	1108	47	26	66	69	237	0	0	0	66	0	48
0	0	0	0	0	0	0	668	0	0	0	0	0	0
79	0	0	9	22	0	0	404	0	0	0	125	0	40
108	0	398	392	19	0	0	26	0	0	0	162	0	188
25	0	0	367	38	0	0	420	0	0	0	0	0	289
73	0	0	0	0	32	0	4408	0	0	0	0	0	0
0	0	0	0	10	2524	0	0	0	0	0	0	0	0
0	0	267	0	0	0	0	0	0	0	0	114	0	247
87	0	1229	39	1	0	0	0	0	0	0	244	0	198
0	0	0	0	46	2	0	0	0	0	0	0	0	357
74	0	0	0	0	0	0	0	0	0	0	0	0	293
0	0	0	0	0	0	0	0	0	0	0	0	0	144
0	0	1209	0	2	10	0	0	0	0	1	320	0	345
0	0	894	0	0	0	0	0	0	0	0	0	0	27
0	0	818	56	27	0	570	0	0	0	5	0	0	184
0	0	0	0	0	0	0	0	0	0	0	0	0	60
0	0	0	0	105	0	0	0	0	0	0	0	0	33
0	0	0	0	210	0	0	0	0	0	30	134	0	89
0	0	0	0	34	0	0	0	0	0	0	0	0	217
0	0	0	0	41	1	10	0	0	0	1	0	0	60
