16.00	17.50	19.30	23.00	26.20	30.80	32.00	31.20	30.70	26.50	20.50	16.60
6.80	7.70	9.80	13.30	17.70	23.50	23.50	22.30	20.50	16.50	11.30	6.70
17.50	18.80	20.50	23.30	26.40	30.50	32.50	31.50	31.10	28.20	22.60	18.70
18.00	19.10	20.30	22.90	25.60	29.40	31.00	30.50	30.10	27.40	22.80	19.00
19.70	20.50	21.80	24.40	26.90	29.90	30.10	29.60	29.20	27.70	23.70	20.80
20.40	20.50	21.20	22.90	25.40	27.90	28.50	28.50	28.20	27.20	24.10	21.40
11.60	13.80	16.00	19.00	22.70	26.70	29.70	29.10	27.50	22.50	16.40	12.50
12.50	14.30	17.10	21.40	25.30	30.00	30.40	29.40	27.90	23.30	16.80	13.40
9.60	11.70	15.00	19.40	23.20	26.30	25.10	24.40	22.30	18.50	13.50	10.00
11.90	13.60	15.80	18.90	21.20	22.60	21.10	20.80	19.80	17.70	15.10	12.30
17.80	19.20	21.30	24.40	26.80	31.20	32.70	32.70	32.10	28.70	23.10	19.10
16.10	17.60	19.30	22.40	25.60	29.40	31.40	31.20	30.50	26.40	20.80	16.60
13.40	16.10	20.00	24.60	27.60	30.10	31.30	31.30	28.80	24.60	18.90	14.60
14.80	16.70	20.80	24.50	26.70	28.50	29.40	29.80	28.00	24.10	19.60	15.80
15.90	17.50	20.20	23.80	26.40	28.40	29.00	29.20	27.50	24.30	20.00	16.40
14.00	16.30	19.30	23.40	25.80	27.60	28.20	28.00	25.70	22.40	18.00	15.20
12.00	13.70	16.60	20.40	23.00	24.10	24.30	23.80	21.40	18.50	14.80	12.60
18.50	20.50	23.30	27.50	28.80	29.00	28.20	28.50	27.20	24.50	21.60	19.00
18.60	19.80	21.60	24.30	26.70	27.50	27.40	27.60	27.00	25.30	22.00	19.50
19.10	21.00	23.50	27.00	28.40	28.70	28.00	28.10	27.10	25.10	22.00	19.60
17.20	19.20	22.20	26.00	28.00	29.30	29.40	29.40	27.80	24.60	20.20	17.50
17.80	18.30	19.00	20.70	22.50	23.80	24.00	23.80	23.70	22.70	20.30	18.90
15.60	16.90	19.20	21.30	23.20	22.80	21.20	21.20	20.80	19.50	17.70	16.00
13.20	14.60	17.00	19.70	21.70	21.90	20.60	20.60	19.70	18.10	15.70	13.70
13.70	15.40	17.90	20.40	21.10	21.10	19.80	20.00	19.10	17.30	15.60	14.00
15.70	17.40	19.80	22.00	23.30	23.00	21.50	21.40	20.90	19.70	17.70	16.10
24.70	24.60	24.40	25.00	26.70	28.40	28.60	28.60	28.10	28.10	26.90	25.50
25.20	26.40	28.30	30.10	31.40	30.40	28.80	28.60	28.20	28.00	27.30	25.50
11.00	12.30	14.60	15.90	16.20	15.90	15.00	15.30	14.90	13.80	12.20	11.40
11.10	12.30	13.80	17.20	20.40	24.30	23.50	22.80	22.40	19.50	15.10	12.10
12.60	13.80	16.20	17.50	18.20	18.30	17.40	17.60	17.00	15.90	14.00	12.70
19.20	20.50	22.50	26.10	27.50	28.20	27.70	27.90	27.20	25.30	22.20	19.80
21.70	22.10	23.90	26.20	27.70	28.10	27.30	27.60	27.30	26.30	24.30	22.50
13.90	15.20	17.40	18.90	19.10	18.70	17.70	17.90	17.60	16.80	15.30	14.10
27.10	27.40	27.50	28.10	29.30	29.10	29.10	29.20	28.50	28.60	28.20	27.40
21.80	22.60	24.90	27.50	28.80	28.50	27.20	27.60	27.20	26.10	24.00	22.30
22.20	22.80	24.70	26.70	28.20	27.90	27.30	27.50	27.20	26.00	24.20	22.90
23.30	24.70	26.50	28.40	29.30	29.00	28.70	28.90	28.40	27.20	25.40	24.00
13.20	13.60	14.90	15.90	16.20	16.30	16.30	16.20	16.00	15.00	14.10	13.20
26.10	26.50	27.20	27.80	28.60	28.10	28.00	28.20	27.90	27.20	26.40	26.00
23.20	24.10	26.20	28.10	28.80	28.70	28.00	28.00	27.70	26.30	24.40	23.40
22.70	23.40	25.60	27.20	27.70	27.80	27.30	27.50	27.20	25.80	24.00	22.80
22.70	22.90	24.50	25.90	26.80	27.30	27.50	27.70	27.30	26.00	24.20	23.00
23.60	24.10	25.40	26.70	27.50	27.60	27.60	27.30	27.40	26.40	24.30	23.70
23.60	23.80	25.20	26.60	27.30	27.60	27.60	27.80	27.40	26.60	25.00	24.00
13.00	13.50	14.20	15.70	17.20	18.70	21.30	22.30	21.30	19.00	16.20	13.80
12.80	13.30	13.80	15.20	16.50	17.90	20.10	21.00	20.40	18.20	15.70	13.40
12.40	14.80	17.20	20.90	24.80	29.30	33.20	32.60	29.90	24.00	17.40	12.80
13.10	15.00	17.70	21.20	25.10	29.40	32.90	32.90	30.00	24.50	18.00	13.20
24.10	23.20	21.20	16.30	13.80	11.00	10.70	11.90	13.90	16.70	19.70	22.00
11.50	13.10	14.00	17.90	21.70	26.40	28.70	27.20	25.80	21.30	15.70	12.50
19.50	19.30	20.10	22.30	23.70	25.40	28.10	28.80	28.50	26.50	23.80	21.10
15.90	16.60	18.20	21.00	23.80	27.00	30.80	30.80	29.50	25.70	20.80	17.00
